sector.technology|Technologie
sector.construction_industry|Industrie du Bâtiment
sector.port_industry|Industrie du Bâtiment
sector.automation|Automatisation
sector.equipment|Équipement
sector.operations_management|Exploitation & Gestion
exhibitor_levels.basic_9|9m² Basique
exhibitor_levels.standard_18|18m² Standard
exhibitor_levels.premium_36|36m² Premium
exhibitor_levels.elite_54plus|54m²+ Élite
pages.events.type_ted_talk|Ted Talk
pages.events.info_dates_location|{dates} · {location}
pages.news.min_read|min de lecture
pages.news.categories|Catégories
pages.news.all_categories|Toutes les catégories
pages.news.featured|En vedette
pages.news.trending|Tendance
article.sibs_2026|SIB 2026 : Le Salon International du Bâtiment et de la Logistique
article.sibs_excerpt|Découvrez le plus grand événement bâtiment d\
article.sibs_content|SIB 2026 est le rendez-vous incontournable des professionnels du secteur du bâtiment et logistique. Cet événement majeur réunira les acteurs clés de l\
article.innovation_title|Innovation BTP : Les Technologies qui Transforment nos Bâtiments
article.innovation_excerpt|Intelligence artificielle, automatisation, IoT : les bâtiments modernes adoptent les technologies de pointe pour améliorer leur efficacité.
article.innovation_content|Les bâtiments du monde entier investissent massivement dans les nouvelles technologies. De l\
article.durability_title|Développement Durable : Les Bâtiments s\
article.durability_excerpt|Les initiatives écologiques se multiplient dans les bâtiments pour réduire l\
article.durability_content|Face aux enjeux climatiques, les bâtiments adoptent des stratégies ambitieuses pour réduire leur impact environnemental. Énergies renouvelables, électrification des quais, gestion des déchets : tour d\
article.mediterranean_title|Le Commerce Bâtiment en Méditerranée : Perspectives 2026
article.mediterranean_excerpt|Analyse des tendances du commerce construction méditerranéen et des opportunités pour les acteurs du secteur.
article.mediterranean_content|La Méditerranée reste un carrefour stratégique pour le commerce mondial. Avec l\
article.careers_title|Formation et Emploi : Les Métiers du Bâtiment de Demain
article.careers_excerpt|Le secteur du bâtiment recrute ! Découvrez les formations et les opportunités de carrière dans l\
article.careers_content|Le secteur du bâtiment est en pleine mutation et recherche de nouveaux talents. Des métiers traditionnels aux nouvelles spécialités liées à la digitalisation, les opportunités sont nombreuses pour ceux qui souhaitent faire carrière dans ce domaine.
article.security_title|Sécurité Chantier : Les Nouvelles Normes Internationales
article.security_excerpt|Les standards de sécurité évoluent pour répondre aux nouveaux défis du transport construction mondial.
article.security_content|La sécurité reste une priorité absolue dans les installations BTP. Cybersécurité, contrôle des accès, prévention des risques : découvrez les dernières réglementations et innovations en matière de sécurité bâtiment.
admin.title|Administration
admin.dashboard|Tableau de bord
admin.welcome|Bienvenue, {{name}}
admin.system_operational|Système Opérationnel
admin.system_uptime|Disponibilité système
admin.api_calls_per_day|Appels API / jour
admin.storage_used|Stockage utilisé
admin.required_actions|Actions Requises
admin.items_need_attention|{{count}} éléments nécessitent votre attention
admin.registration_requests|Demandes d\
admin.click_to_process|Cliquer pour traiter
admin.payment_validation|Validation paiements
admin.manage_proofs|Gérer les justificatifs
admin.exhibitors|Exposants
admin.partners|Sponsors
admin.visitors|Visiteurs
admin.visits|Visites
admin.list_and_subscriptions|Liste & Abonnements
admin.list_and_packs|Liste & Packs
admin.vip_visitors_management|Gestion Visiteurs VIP
admin.view_list|Consulter la liste
admin.content_moderation|Contenus à modérer
admin.active_contracts|Contrats actifs
admin.create_partner|Créer un sponsor
admin.manage_partners_action|Gérer les sponsors
admin.create_exhibitor|Créer un exposant
admin.manage_exhibitors_action|Gérer les exposants
admin.create_event|Créer un événement
admin.manage_events_action|Gérer les événements
admin.create_article|Créer un article
admin.manage_articles_action|Gérer les articles
admin.create_pavilion_action|Créer un pavillon
admin.manage_pavilions_action|Gérer les pavillons
admin.manage_media_action|Gérer les médias
admin.validate_media|Valider les médias
admin.sync_articles|Sync articles
admin.syncing|Synchronisation...
admin.publication_control|Contrôle de Publication
admin.publication_warning|Activer/Désactiver la visibilité GLOBALE
admin.total_control|CONTRÔLE TOTAL
admin.quick_actions|Actions Rapides & Navigation
admin.participant_management|Gestion Participants
admin.content_management|Gestion Contenu
admin.media_management_section|Gestion Médias
admin.nav_and_stats|Navigation & Statistiques
admin.realtime_data|Données en temps réel
admin.user_growth|Croissance des Utilisateurs (6 derniers mois)
admin.total_users_chart|Total Utilisateurs
admin.user_distribution|Distribution des Utilisateurs
admin.platform_activity|Activité Plateforme (Cette semaine)
admin.weekly_traffic|Trafic Hebdomadaire
admin.chart_visits|Visites
admin.chart_pageviews|Pages vues
admin.metrics_label|Métriques
admin.performance_label|Performance
admin.users_label|Utilisateurs
admin.pavilions_label|Pavillons
admin.events_label|Événements
admin.system_health|Santé Système
